Country,Vaccine,Recommendations
colombia,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
colombia,Rabies,"Rabid dogs are commonly found in Colombia. However, if you are bitten or scratched by a dog or other mammal while in Colombia, rabies treatment is often available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Colombia."
colombia,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
colombia,Yellow Fever,"Required if arriving from Angola, Brazil, Democratic Republic of the Congo, or Uganda and ≥1 year of age and for travelers who have transited >12 hours in an airport located in any of these same countries. 

Recommended for all travelers ≥9 months of age except as mentioned below. Generally not recommended for travelers to the cities of Barranquilla, Cali, Cartagena, and Medellín (see Map 2-09). Not recommended for travelers whose itineraries are limited to all areas >2,300 m (7,546 ft) in elevation, the department of San Andrès y Providencia, and the capital city of Bogotá.

Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
comoros,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
comoros,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Comoros.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
comoros,Hepatitis B,Recommended for unvaccinated travelers of all ages to Comoros.
comoros,Malaria,"CDC recommends that travelers going to Comoros take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
comoros,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
comoros,Rabies,"Rabid dogs are commonly found in Comoros. If you are bitten or scratched by a dog or other mammal while in Comoros, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Comoros."
comoros,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
congo,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
congo,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to the Congo.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
congo,Hepatitis B,Recommended for unvaccinated travelers of all ages to the Congo.
congo,Malaria,"CDC recommends that travelers going to the Congo take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
congo,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
congo,Rabies,"Rabid dogs are commonly found in the Congo. If you are bitten or scratched by a dog or other mammal while in the Congo, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to the Congo."
congo,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
congo,Yellow Fever,"Required for arriving travelers from all countries if traveler is ≥9 months of age.

Recommended for all travelers ≥9 months of age.

Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
cook-islands,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
cook-islands,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to the Cook Islands.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
cook-islands,Hepatitis B,Recommended for unvaccinated travelers of all ages to the Cook Islands.
cook-islands,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
cook-islands,Rabies,"the Cook Islands is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
cook-islands,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
costa-rica,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
costa-rica,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Costa Rica.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
costa-rica,Hepatitis B,Recommended for unvaccinated travelers of all ages to Costa Rica.
costa-rica,Malaria,"CDC recommends that travelers going to certain areas of Costa Rica take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
costa-rica,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
costa-rica,Rabies,"Costa Rica is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
costa-rica,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
costa-rica,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥9 months of age.1 This requirement excludes Argentina and Panama. It includes Tanzania, Zambia and the designated areas of the following countries: Colombia (the entire country except Barranquilla, Cali, Cartagena, Medellín and San Andrés Providencia and Bogotá); Ecuador (applies only to Morona-Santiago, Napo, Orellana, Pastaza, Sucumbíos and Zamora-Chinchipe, and excludes the rest of the country); Paraguay (the entire country except Asunción, the capital); Peru (the entire country except Lima, the capital, Cuzco, Machu Picchu, the Inca Trail, Lambayeque, Tumbes, Piura and Cajamarca); Trinidad and Tobago (the entire country except the urban areas of Port of Spain, and for travelers in transit or whose itineraries are limited to the island of Tobago).


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
croatia,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
croatia,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Croatia.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
croatia,Hepatitis B,Recommended for unvaccinated travelers of all ages to Croatia.
croatia,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
croatia,Rabies,"Croatia is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
cuba,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
cuba,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Cuba.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
cuba,Hepatitis B,Recommended for unvaccinated travelers of all ages to Cuba.
cuba,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
cuba,Rabies,"Rabid dogs are commonly found in Cuba. However, if you are bitten or scratched by a dog or other mammal while in Cuba, rabies treatment is often available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Cuba."
cuba,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
curacao,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
curacao,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Curaçao.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
curacao,Hepatitis B,Recommended for unvaccinated travelers of all ages to Curaçao.
curacao,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
curacao,Rabies,"Curaçao is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
curacao,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
curacao,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥9 months of age, including transit >12 hours in an airport located in a country with risk of YF virus transmission.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
cyprus,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
cyprus,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Cyprus.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
cyprus,Hepatitis B,Recommended for unvaccinated travelers of all ages to Cyprus.
cyprus,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
cyprus,Rabies,"Cyprus is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
czech-republic,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
czech-republic,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to the Czech Republic.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
czech-republic,Hepatitis B,Recommended for unvaccinated travelers of all ages to the Czech Republic.
czech-republic,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
ivory-coast,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
ivory-coast,Cholera,There is no longer active cholera transmission and vaccine is not recommended.
ivory-coast,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Côte d'Ivoire.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
ivory-coast,Hepatitis B,Recommended for unvaccinated travelers of all ages to Côte d'Ivoire.
ivory-coast,Malaria,"CDC recommends that travelers going to Côte d'Ivoire take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
ivory-coast,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
ivory-coast,Meningitis (Meningococcal disease),Recommended for travelers 2 months old or older traveling to Côte d'Ivoire during the dry season (December to June).
ivory-coast,Rabies,"Rabid dogs are commonly found in Côte d'Ivoire. If you are bitten or scratched by a dog or other mammal while in Côte d'Ivoire, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Côte d'Ivoire."
ivory-coast,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
ivory-coast,Yellow Fever,"Required for arriving travelers from all countries if traveler is ≥9 months of age.

Recommended for all travelers ≥9 months of age.

Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
democratic-republic-of-congo,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
democratic-republic-of-congo,Cholera,Vaccination may be considered for adults who are traveling to areas of active cholera transmission. Active cholera transmission is widespread in the Democratic Republic of the Congo. Cholera is rare in travelers but can be severe. Certain factors may increase the risk of getting cholera or having severe disease (more information). Avoiding unsafe food and water and washing your hands can also help prevent cholera.
democratic-republic-of-congo,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to the Democratic Republic of the Congo.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
democratic-republic-of-congo,Hepatitis B,Recommended for unvaccinated travelers of all ages to the Democratic Republic of the Congo.
democratic-republic-of-congo,Malaria,"CDC recommends that travelers going to the Democratic Republic of the Congo take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
democratic-republic-of-congo,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
democratic-republic-of-congo,Polio,A single lifetime booster dose of Inactivated Polio Vaccine (IPV) is recommended for adults who received the routine polio vaccination series as children; the routine series is recommended for unvaccinated or incompletely vaccinated children and adults and those with unknown vaccination status.
democratic-republic-of-congo,Rabies,"Rabid dogs are commonly found in the Democratic Republic of the Congo. If you are bitten or scratched by a dog or other mammal while in the Democratic Republic of the Congo, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to the Democratic Republic of the Congo."
democratic-republic-of-congo,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
democratic-republic-of-congo,Yellow Fever,"Required for arriving travelers from all countries if travelers is ≥9 months of age.

Recommended for all travelers ≥9 months of age

Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
denmark,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
denmark,Hepatitis A,"Consider for most travelers; recommended for travelers at higher risk (e.g. visiting smaller cities, villages, or rural areas where exposure might occur through food or water; or prone to ""adventurous eating"")"
denmark,Hepatitis B,Recommended for unvaccinated travelers of all ages to Denmark.
denmark,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
denmark,Rabies,"Denmark is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
djibouti,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
djibouti,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Djibouti.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
djibouti,Hepatitis B,Recommended for unvaccinated travelers of all ages to Djibouti.
djibouti,Malaria,"CDC recommends that travelers going to Djibouti take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
djibouti,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
djibouti,Rabies,"Rabid dogs are commonly found in Djibouti. If you are bitten or scratched by a dog or other mammal while in Djibouti, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to Djibouti."
djibouti,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
dominica,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
dominica,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to Dominica.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
dominica,Hepatitis B,Recommended for unvaccinated travelers of all ages to Dominica.
dominica,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
dominica,Rabies,"Dominica is free of dog rabies. However, rabies may still be present in wildlife species, particularly bats. CDC recommends rabies vaccination before travel only for people working directly with wildlife. These people may include veterinarians, animal handlers, field biologists, or laboratory workers working with specimens from mammalian species."
dominica,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
dominica,Yellow Fever,"Required if traveling from a country with risk of YF virus transmission and ≥1 year of age, including transit >12 hours in an airport located in a country with risk of YF virus transmission.1


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
dominican-republic,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
dominican-republic,Cholera,"There is no longer active cholera transmission, and vaccine is not recommended."
dominican-republic,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to the Dominican Republic.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
dominican-republic,Hepatitis B,Recommended for unvaccinated travelers of all ages to the Dominican Republic.
dominican-republic,Malaria,"CDC recommends that travelers going to certain areas of the Dominican Republic take prescription medicine to prevent malaria. Depending on the medicine you take, you will need to start taking this medicine multiple days before your trip, as well as during and after your trip. Talk to your doctor about which malaria medication you should take.
Find country-specific information about malaria."
dominican-republic,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
dominican-republic,Rabies,"Rabid dogs are commonly found in the Dominican Republic. If you are bitten or scratched by a dog or other mammal while in the Dominican Republic, there may be limited or no rabies treatment available. 
Consider rabies vaccination before your trip if your activities mean you will be around dogs or wildlife.
Travelers more likely to encounter rabid animals include
Campers, adventure travelers, or cave explorers (spelunkers)
    Veterinarians, animal handlers, field biologists, or laboratory workers handling animal specimens
    Visitors to rural areas
Since children are more likely to be bitten or scratched by a dog or other animals, consider rabies vaccination for children traveling to the Dominican Republic."
dominican-republic,Typhoid,"Recommended for most travelers, especially those staying with friends or relatives or visiting smaller cities or rural areas."
dominican-republic,Yellow Fever,"Required if traveling from the states of Mina Gerais, Espirito Santo, Sao Paulo or Rio de Janeiro in Brazil and ≥1 year of age, including transit >12 hours in an airport located in any of these states in Brazil.


Note: Yellow fever vaccine availability in the United States is currently limited. Travelers may need to schedule appointments well in advance and visit a clinic some distance away. Find the nearest clinic that has vaccine."
united-arab-emirates,Routine vaccines,"Make sure you are up-to-date on all routine vaccines before every trip. Some of these vaccines include
Chickenpox (Varicella)
    Diphtheria-Tetanus-Pertussis
    Flu (influenza)
    Measles-Mumps-Rubella (MMR)
    Polio"
united-arab-emirates,Hepatitis A,"Recommended for unvaccinated travelers one year old or older going to the United Arab Emirates.
Infants 6 to 11 months old should also be vaccinated against Hepatitis A. The dose does not count toward the routine 2-dose series.
Travelers allergic to a vaccine component or who are younger than 6 months should receive a single dose of immune globulin, which provides effective protection for up to 2 months depending on dosage given.
Unvaccinated travelers who are over 40 years old, immunocompromised, or have chronic medical conditions planning to depart to a risk area in less than 2 weeks should get the initial dose of vaccine and at the same appointment receive immune globulin."
united-arab-emirates,Hepatitis B,Recommended for unvaccinated travelers of all ages to the United Arab Emirates.
united-arab-emirates,Measles,Infants 6 to 11 months old traveling internationally should get 1 dose of measles-mumps-rubella (MMR) vaccine before travel. This dose does not count as part of the routine childhood vaccination series.
